id;ano;pais;departamento;provincia;municipio;poblacion_censada;poblacion_satisfecha;poblacion_umbral_pobreza;total_poblacion_no_pobre;porcentaje_poblacion_no_pobre;poblacion_pobre_moderada;poblacion_pobre_indigente;poblacion_pobre_marginal;total_poblacion_pobre;porcentaje_poblacion_pobre
1;2012;Bolivia;Pando;Nicolas Suarez;Cobija;43189;12847;16999;29846;69,1;12464;871;8;13343;30,9
2;2012;Bolivia;Pando;Nicolas Suarez;Porvenir;7624;773;3486;4259;55,9;3134;222;9;3365;44,1
3;2012;Bolivia;Pando;Nicolas Suarez;Bolpebra;2032;81;410;491;24,2;1351;183;7;1541;75,8
4;2012;Bolivia;Pando;Nicolas Suarez;Bella Flor;3518;370;806;1176;33,4;2000;334;8;2342;66,6
5;2012;Bolivia;Pando;Manuripi;Puerto Rico;5501;224;1386;1610;29,3;3397;487;7;3891;70,7
6;2012;Bolivia;Pando;Manuripi;San Pedro;2981;2;67;69;2,3;1692;1130;90;2912;97,7
7;2012;Bolivia;Pando;Manuripi;Filadelfia;5456;91;1024;1115;20,4;3702;591;48;4341;79,6
8;2012;Bolivia;Pando;Madre de Dios;Puerto Gonzalo Moreno;7524;185;1069;1254;16,7;5367;903;0;6270;83,3
9;2012;Bolivia;Pando;Madre de Dios;San Lorenzo;7051;141;799;940;13,3;4996;1081;34;6111;86,7
10;2012;Bolivia;Pando;Madre de Dios;Sena;8033;8;225;233;2,9;3600;3882;318;7800;97,1
11;2012;Bolivia;Pando;Abuna;Santa Rosa del Abuna;2161;61;516;577;26,7;1461;120;3;1584;73,3
12;2012;Bolivia;Pando;Abuna;Ingavi;1616;22;193;215;13,3;1081;290;30;1401;86,7
13;2012;Bolivia;Pando;Federico Roman;Nueva Esperanza;1771;20;194;214;12,1;1277;280;0;1557;87,9
14;2012;Bolivia;Pando;Federico Roman;Villa Nueva;2786;68;305;373;13,4;1732;673;8;2413;86,6
15;2012;Bolivia;Pando;Federico Roman;Santos Mercado;1963;13;91;104;5,3;1288;547;24;1859;94,7
16;2012;Bolivia;Tarija;Cercado;Tarija;197771;79642;73227;152869;77,3;42019;2837;46;44902;22,7
17;2012;Bolivia;Tarija;Aniceto Arce;Padcaya;17986;2058;5312;7370;41;9505;1105;6;10616;59
18;2012;Bolivia;Tarija;Aniceto Arce;Bermejo;32726;9135;13900;23035;70,4;9040;634;17;9691;29,6
19;2012;Bolivia;Tarija;Gran Chaco;Yacuiba;86784;19335;37571;56906;65,6;26963;2843;72;29878;34,4
20;2012;Bolivia;Tarija;Gran Chaco;Carapari;13155;1827;5640;7467;56,8;5280;400;8;5688;43,2
21;2012;Bolivia;Tarija;Gran Chaco;Villamontes;37405;7297;13869;21166;56,6;14898;1328;13;16239;43,4
22;2012;Bolivia;Tarija;Aviles;Uriondo;14390;1673;4641;6314;43,9;7356;717;3;8076;56,1
23;2012;Bolivia;Tarija;Aviles;Yunchara;5088;215;1367;1582;31,1;3093;405;8;3506;68,9
24;2012;Bolivia;Tarija;Mendez;Villa San Lorenzo;23055;4180;7293;11473;49,8;9707;1831;44;11582;50,2
25;2012;Bolivia;Tarija;Mendez;El Puente;10866;719;3630;4349;40;5771;724;22;6517;60
26;2012;Bolivia;Tarija;O Connor;Entre Rios;20018;2122;5727;7849;39,2;10274;1865;30;12169;60,8
27;2012;Bolivia;La Paz;Murillo;La Paz;743491;415617;221412;637029;85,7;97275;8921;266;106462;14,3
28;2012;Bolivia;La Paz;Murillo;Palca;16408;272;1808;2080;12,7;9036;5161;131;14328;87,3
29;2012;Bolivia;La Paz;Murillo;Mecapaca;15890;2482;3377;5859;36,9;6539;3395;97;10031;63,1
30;2012;Bolivia;La Paz;Murillo;Achocalla;21772;1773;4501;6274;28,8;11817;3598;83;15498;71,2
31;2012;Bolivia;La Paz;Murillo;El Alto;833649;223539;309720;533259;64;267043;32914;433;300390;36
32;2012;Bolivia;La Paz;Omasuyos;Achacachi;45231;3474;9858;13332;29,5;22450;9154;295;31899;70,5
33;2012;Bolivia;La Paz;Omasuyos;Ancoraimes;13016;291;1207;1498;11,5;7339;4059;120;11518;88,5
34;2012;Bolivia;La Paz;Omasuyos;Chua Cocani;4811;390;1243;1633;33,9;2459;689;30;3178;66,1
35;2012;Bolivia;La Paz;Omasuyos;Huarina;7858;542;1596;2138;27,2;4310;1367;43;5720;72,8
36;2012;Bolivia;La Paz;Omasuyos;Santiago de Huata;8415;826;1743;2569;30,5;4481;1334;31;5846;69,5
37;2012;Bolivia;La Paz;Omasuyos;Huatajata;3838;1210;1493;2703;70,4;993;141;1;1135;29,6
38;2012;Bolivia;La Paz;Pacajes;Corocoro;10242;850;1146;1996;19,5;4691;3435;120;8246;80,5
39;2012;Bolivia;La Paz;Pacajes;Caquiaviri;14538;233;1047;1280;8,8;7588;5564;106;13258;91,2
40;2012;Bolivia;La Paz;Pacajes;Calacoto;9753;75;467;542;5,6;4596;4445;170;9211;94,4
41;2012;Bolivia;La Paz;Pacajes;Comanche;3810;47;280;327;8,6;2155;1301;27;3483;91,4
42;2012;Bolivia;La Paz;Pacajes;Charaña;2994;112;341;453;15,1;1200;1306;35;2541;84,9
43;2012;Bolivia;La Paz;Pacajes;Waldo Ballivian;4964;7;404;411;8,3;3603;931;19;4553;91,7
44;2012;Bolivia;La Paz;Pacajes;Nazacara de Pacajes;599;11;92;103;17,2;377;119;0;496;82,8
45;2012;Bolivia;La Paz;Pacajes;Callapa;7189;38;156;194;2,7;2510;4238;247;6995;97,3
46;2012;Bolivia;La Paz;Camacho;Puerto Acosta;11159;426;1149;1575;14,1;4997;4310;277;9584;85,9
47;2012;Bolivia;La Paz;Camacho;Mocomoco;15390;348;1048;1396;9,1;7630;6094;270;13994;90,9
48;2012;Bolivia;La Paz;Camacho;Pto. Carabuco;14252;613;1293;1906;13,4;7778;4444;124;12346;86,6
49;2012;Bolivia;La Paz;Camacho;Humanata;5272;24;238;262;5;2622;2309;79;5010;95
50;2012;Bolivia;La Paz;Camacho;Escoma;7095;290;879;1169;16,5;4096;1778;52;5926;83,5
51;2012;Bolivia;La Paz;Muñecas;Chuma;11370;395;1211;1606;14,1;6992;2679;93;9764;85,9
52;2012;Bolivia;La Paz;Muñecas;Ayata;8178;236;596;832;10,2;5012;2238;96;7346;89,8
53;2012;Bolivia;La Paz;Muñecas;Aucapata;5369;161;395;556;10,4;3283;1475;55;4813;89,6
54;2012;Bolivia;La Paz;Larecaja;Sorata;23158;991;3571;4562;19,7;11950;6382;264;18596;80,3
55;2012;Bolivia;La Paz;Larecaja;Guanay;14255;731;3910;4641;32,6;6828;2487;299;9614;67,4
56;2012;Bolivia;La Paz;Larecaja;Tacacoma;7804;220;1325;1545;19,8;4610;1573;76;6259;80,2
57;2012;Bolivia;La Paz;Larecaja;Quiabaya;2598;141;318;459;17,7;1481;637;21;2139;82,3
58;2012;Bolivia;La Paz;Larecaja;Combaya;3668;112;518;630;17,2;2383;650;5;3038;82,8
59;2012;Bolivia;La Paz;Larecaja;Tipuani;9673;823;3311;4134;42,7;4890;628;21;5539;57,3
60;2012;Bolivia;La Paz;Larecaja;Mapiri;13051;563;3374;3937;30,2;8252;849;13;9114;69,8
61;2012;Bolivia;La Paz;Larecaja;Teoponte;8888;279;1651;1930;21,7;5052;1826;80;6958;78,3
62;2012;Bolivia;La Paz;Franz Tamayo;Apolo;18372;781;3317;4098;22,3;8254;5625;395;14274;77,7
63;2012;Bolivia;La Paz;Franz Tamayo;Pelechuco;5892;159;815;974;16,5;3060;1703;155;4918;83,5
64;2012;Bolivia;La Paz;Ingavi;Viacha;77981;15079;21225;36304;46,6;32306;9178;193;41677;53,4
65;2012;Bolivia;La Paz;Ingavi;Guaqui;6950;495;1602;2097;30,2;3871;953;29;4853;69,8
66;2012;Bolivia;La Paz;Ingavi;Tiahuanacu;12039;408;1712;2120;17,6;7363;2512;44;9919;82,4
67;2012;Bolivia;La Paz;Ingavi;desaguadero;6730;571;2089;2660;39,5;3398;664;8;4070;60,5
68;2012;Bolivia;La Paz;Ingavi;San Andres de Machaca;5976;65;487;552;9,2;3724;1653;47;5424;90,8
69;2012;Bolivia;La Paz;Ingavi;Jesus de Machaca;14755;272;1693;1965;13,3;10080;2641;69;12790;86,7
70;2012;Bolivia;La Paz;Ingavi;Taraco;6527;115;843;958;14,7;4635;923;11;5569;85,3
71;2012;Bolivia;La Paz;Loayza;Luribay;11011;372;2178;2550;23,2;6430;1965;66;8461;76,8
72;2012;Bolivia;La Paz;Loayza;Sapahaqui;12305;207;1116;1323;10,8;7251;3563;168;10982;89,2
73;2012;Bolivia;La Paz;Loayza;Yaco;7189;158;565;723;10,1;4561;1855;50;6466;89,9
74;2012;Bolivia;La Paz;Loayza;Malla;4976;171;804;975;19,6;3151;826;24;4001;80,4
75;2012;Bolivia;La Paz;Loayza;Cairoma;11185;571;2068;2639;23,6;6444;2036;66;8546;76,4
76;2012;Bolivia;La Paz;Inquisivi;Inquisivi;14540;319;689;1008;6,93;6684;6403;445;13532;93,07
77;2012;Bolivia;La Paz;Inquisivi;Quime;7950;977;2403;3380;42,5;3138;1352;80;4570;57,5
78;2012;Bolivia;La Paz;Inquisivi;Cajuata;10198;690;2542;3232;31,7;5994;940;32;6966;68,3
79;2012;Bolivia;La Paz;Inquisivi;Colquiri;18967;1884;3023;4907;25,9;7963;5897;200;14060;74,1
80;2012;Bolivia;La Paz;Inquisivi;Ichoca;7744;114;533;647;8,4;4097;2921;79;7097;91,6
81;2012;Bolivia;La Paz;Inquisivi;Villa Libertad Licoma;5458;89;1536;1625;29,8;3040;743;50;3833;70,2
82;2012;Bolivia;La Paz;Sud Yungas;Chulumani;17369;1669;5460;7129;41;9037;1174;29;10240;59
83;2012;Bolivia;La Paz;Sud Yungas;Irupana;16616;1229;3449;4678;28,2;9136;2758;44;11938;71,8
84;2012;Bolivia;La Paz;Sud Yungas;Yanacachi;6167;1263;1723;2986;48,4;2662;489;30;3181;51,6
