departamento;Provincia;Municipio;descripcion_proyecto;Beneficiarios;Monto_ejecutado_en_Bs
La Paz;Nor Yungas;Coroico;500 BOLSAS de CEMENTO (VARIAS COMUNIDAdeS) MATERIALES EN TRANSITO;1600;22138
Potosi;Sur Chichas;Tupiza;5TA. EXPO FERIA de LA MICRO Y PEQUENA INDUSTRIA 2013 EN EL MUNICIPIO de TUPIZA;30;42670
La Paz;Gualberto Villarroel;San Pedro de Curahuara;ABASTECIMIENTO de AGUA POTABLE PARA LA COMUNIDAD de TOLAPAMPA;40;50280
Potosi;Nor Lipez;Colcha K;ACCESO A OPORTUNIDAdeS de deSARROLLO ECONOMICO SOSTENIBLE E INCLUSIVO A TRAVEZ deL MEJORAMIENTO deL GANADO CAMELIDO;48;265050
Potosi;Nor Lipez;Colcha K;ACCESO A OPORTUNIDAdeS de deSARROLLO ECONOMICO SOSTENIBLE E INCLUSIVO A TRAVEZ deL MEJORAMIENTO deL GANADO CAMELIDO;48;203098
Potosi;Nor Lipez;Colcha K;ACOPROQUIRCO-SOPROQUI;52;361554
La Paz;Sud Yungas;La Asunta;ACTUALIZACION de PRE INVERSIONES (CONSTRUCCION de 6 PUENTES VEHICULARES);5220;88500
La Paz;Nor Yungas;Coroico;ADQUISICION 1 MOTOCICLETA Y 2 BOTELLONES de OXIGENO PARA POSTA Y HOSPITAL;755;41860
La Paz;Nor Yungas;Coroico;ADQUISICION 2 MOTOCICLETAS PARA DPTO. TECNICO de ALCALDIA;0;68370
La Paz;Sud Yungas;Chulumani;ADQUISICION 2 MOTOCICLETAS PARA EL dePTO. TECNICO ALCALDIA;0;68510
La Paz;Sud Yungas;Yanacachi;ADQUISICION 2 MOTOCICLETAS PARA EL FORTALECIMIENTO ECONOMICO deL deP TEC de YANACACHI;0;106510
La Paz;Inquisivi;Cajuata;ADQUISICION 2 MOTOCICLETAS Y DOS COMPUTADORAS;0;70000
La Paz;Nor Yungas;Coripata;ADQUISICION 3 MOTOCICLETAS E IMPRESORAS PARA dePTO TECNICO de ALCALDIA;0;104780
Cochabamba;Ayopaya;Morochata;ADQUISICION de 1 GPSS PARA UdeMS;2422;3300
Cochabamba;Ayopaya;Morochata;ADQUISICION de 1 GPSS PARA UdeMS;2422;3300
Cochabamba;Chapare;Villa Tunari;ADQUISICION de CEMENTO de CONSTRUCCION deFENSIVO de H C PUENTE COLGANTE (PEATONAL) CRUCE COLORADA MUNICIPIO de VILLA TUNARI;90;35400
Cochabamba;Ayopaya;Morochata;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
Cochabamba;Ayopaya;Morochata;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
La Paz;Inquisivi;Cajuata;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
La Paz;Inquisivi;Cajuata;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
La Paz;Nor Yungas;Coripata;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
La Paz;Nor Yungas;Coripata;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
La Paz;Nor Yungas;Coroico;ADQUISICION de EQUIPOS de COMPUTACION;0;16100
La Paz;Nor Yungas;Coroico;ADQUISICION de EQUIPOS de COMPUTACION;0;16100
La Paz;Sud Yungas;Chulumani;ADQUISICION de EQUIPOS de COMPUTACION;0;10500
